0,1,DMX,x,
1,,24V,x,
2,2,DMX,x,
3,49,M,black4,Static-ok
4,50,M,black5,Static-ok
5,51,M,black6,Static-ok
6,52,M,black7,Static-ok
7,,GND,x,
8,,24V,x,
9,5,DMX,x,
10,,24V,x,
11,6,DMX,x,
12,7,DMX,x,
13,,24V,x,
14,8,DMX,x,
15,53,M,blck16,Static-ok
16,54,M,black17,Static-ok
17,9,DMX,x,
18,,24V,x,
19,10,DMX,x,
20,11,DMX,x,
21,,24V,x,
22,12,DMX,x,
23,55,M,black24,Static-ok
24,56,M,black25,Static-ok
25,57,M,black26,Static-ok
26,58,M,black27,Static-ok
27,13,DMX,x,
28,,24V,x,
29,14,DMX,x,
30,15,DMX,x,
31,,24V,x,
32,16,DMX,x,
33,,GND,x,
34,,24V,x,
35,25,DMX,x,
36,,24V,x,
37,26,DMX,x,
38,27,DMX,x,
39,,24V,x,
40,28,DMX,x,
41,29,DMX,x,
42,,24V,x,
43,30,DMX,x,
44,33,DMX,x,
45,,24V,x,
46,34,DMX,x,
47,35,DMX,,no response
48,,24V,,no response
49,37,DMX,x,
50,,24V,x,
51,38,DMX,x,
52,39,DMX,x,
53,,24V,x,
54,40,DMX,x,
55,41,DMX,x,
56,,24V,x,
57,42,DMX,x,
58,,GND,x,
59,,24V,x,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,65,24V,Response – 69,channel index off by 2
67,66,24V,Response – 70,channel index off by 2
68,67,24V,Response – 71,channel index off by 2
69,68,24V,Response – 72,channel index off by 2
70,69,24V,Response – 74,channel index off by 3
71,70,24V,Response – 75,channel index off by 3
72,,24V,x,
73,71,24V,Response – 76,channel index off by 2
74,72,24V,Response – 77,channel index off by 2
75,73,24V,Response – 78,channel index off by 2
76,74,24V,Response – 79,channel index off by 2
77,75,24V,,no response
78,76,24V,,no response
79,,24V,x,
80,,,,
81,,,,
82,,,,
83,,,,
84,,DMX,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,DMX,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
